ID,Institucion educativa,Ranking institución educativa,Origen institución educativa,Número de créditos programa educativo,nombreareaconocimiento,Metodología programa educativo,Area programa educativo,Periodicidad programa educativo,Numero periodos programa educativo,Titulo egresado,Opiniones institución educativa,Link,image_url
18,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,185,Matemáticas y ciencias naturales,Presencial,Química y afines,Semestral,10,QUIMICO(A) FARMACEUTICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
19,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,140,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,9,LICENCIADO(A) EN FILOLOGIA E IDIOMAS,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
20,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,122,Ciencias sociales y humanas,Presencial,Filosofía teología y afines,Semestral,9,FILOSOFO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
21,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,NA,Matemáticas y ciencias naturales,Presencial,Física,Semestral,10,FISICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
22,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,166,Ciencias de la salud,Presencial,Terapias,Semestral,10,FISIOTERAPEUTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
23,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,155,Ciencias de la salud,Presencial,Terapias,Semestral,10,FONOAUDIOLOGO (A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
24,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,128,Ciencias sociales y humanas,Presencial,Geografía historia,Semestral,9,GEOGRAFO (A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
25,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,166,Matemáticas y ciencias naturales,Presencial,Geología otros programas de ciencias naturales,Semestral,10,GEOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
26,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,121,Ciencias sociales y humanas,Presencial,Geografía historia,Semestral,9,HISTORIADOR(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
27,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería agrícola forestal y afines,Semestral,10,INGENIERO(A) AGRICOLA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
28,UNIVERSIDAD NACIONAL DE COLOMBIA,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería agronómica pecuaria y afines,Semestral,10,INGENIERO(A) AGRONOMO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326
