ID,Institucion educativa,Ranking institución educativa,Origen institución educativa,Número de créditos programa educativo,nombreareaconocimiento,Metodología programa educativo,Area programa educativo,Periodicidad programa educativo,Numero periodos programa educativo,Titulo egresado,Opiniones institución educativa,Link,image_url
226,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,136,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,8,PROFESIONAL EN ESTUDIOS LITERARIOS Y EDICIÓN,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
227,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,136,Ciencias sociales y humanas,Presencial,Comunicación social periodismo y afines,Semestral,8,PROFESIONAL EN FOTOGRAFÍA,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
228,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,136,Ciencias sociales y humanas,Presencial,Geografía historia,Semestral,8,HISTORIADOR DEL ARTE,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
229,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,146,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería ambiental sanitaria y afines,Semestral,9,INGENIERO AMBIENTAL,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
230,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,150,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería agroindustrial alimentos y afines,Semestral,9,INGENIERO DE ALIMENTOS,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
231,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,146,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de sistemas telemática y afines,Semestral,9,INGENIERO (A) DE SISTEMAS,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
232,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,147,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,9,INGENIERO  EN AUTOMATIZACIÓN,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
233,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,149,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,9,INGENIERO EN ENERGÍA,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
234,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,150,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,9,INGENIERO INDUSTRIAL,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
235,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,150,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería química y afines,Semestral,9,INGENIERO QUIMICO,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
236,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,136,Economía administración contaduría y afines,Virtual,Administración,Semestral,8,PROFESIONAL EN MERCADEO,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
237,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,125,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,8,PROFESIONAL EN MODELADO Y SIMULACIÓN COMPUTACIONAL,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
238,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,135,Bellas artes,Presencial,Artes plásticas visuales y afines,Semestral,8,PROFESIONAL EN PUBLICIDAD,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
239,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,135,Bellas artes,Presencial,Artes plásticas visuales y afines,Semestral,8,REALIZADOR EN ANIMACIÓN,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
240,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,17,Privado,133,Ciencias sociales y humanas,Presencial,Ciencia política relaciones internacionales,Semestral,8,PROFESIONAL EN RELACIONES INTERNACIONALES,,https://www.utadeo.edu.co/es,https://start.docuware.com/hubfs/UniBogota-online-logo-1.jpg
241,UNIVERSIDAD CENTRAL,100,Privado,152,Economía administración contaduría y afines,Presencial,Administración,Semestral,9,ADMINISTRADOR DE EMPRESAS,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
242,UNIVERSIDAD CENTRAL,100,Privado,142,Matemáticas y ciencias naturales,Presencial,Biología microbiología y afines,Semestral,8,BIÓLOGO,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
243,UNIVERSIDAD CENTRAL,100,Privado,154,Bellas artes,Presencial,Artes plásticas visuales y afines,Semestral,8,MAESTRO EN CINEMATOGRAFÍA - MAESTRA EN CINEMATOGRAFÍA,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
244,UNIVERSIDAD CENTRAL,100,Privado,140,Ciencias sociales y humanas,Presencial,Comunicación social periodismo y afines,Semestral,10,COMUNICADOR SOCIAL Y PERIODISTA,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
245,UNIVERSIDAD CENTRAL,100,Privado,166,Economía administración contaduría y afines,Presencial,Contaduría pública,Semestral,10,CONTADOR PUBLICO,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
246,UNIVERSIDAD CENTRAL,100,Privado,139,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,8,PROFESIONAL EN CREACION LITERARIA,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
247,UNIVERSIDAD CENTRAL,100,Privado,161,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
248,UNIVERSIDAD CENTRAL,100,Privado,143,Economía administración contaduría y afines,Presencial,Economía,Semestral,9,ECONOMISTA,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
249,UNIVERSIDAD CENTRAL,100,Privado,170,Bellas artes,Presencial,Música,Semestral,10,MAESTRO EN MÚSICA,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
250,UNIVERSIDAD CENTRAL,100,Privado,156,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería ambiental sanitaria y afines,Semestral,10,INGENIERO AMBIENTAL,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
251,UNIVERSIDAD CENTRAL,100,Privado,161,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de sistemas telemática y afines,Semestral,10,INGENIERO DE SISTEMAS,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
252,UNIVERSIDAD CENTRAL,100,Privado,161,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería electrónica telecomunicaciones y afines,Semestral,10,INGENIERO ELECTRONICO,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
253,UNIVERSIDAD CENTRAL,100,Privado,170,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,10,INGENIERO INDUSTRIAL,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
254,UNIVERSIDAD CENTRAL,100,Privado,165,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO MECANICO,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
255,UNIVERSIDAD CENTRAL,100,Privado,138,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,9,MATEMATICO,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
256,UNIVERSIDAD CENTRAL,100,Privado,150,Economía administración contaduría y afines,Presencial,Administración,Semestral,9,MERCADÓLOGO,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
257,UNIVERSIDAD CENTRAL,100,Privado,148,Bellas artes,Presencial,Publicidad y afines,Semestral,10,PUBLICISTA,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
258,UNIVERSIDAD CENTRAL,100,Privado,148,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,9,TRABAJADOR (A) SOCIAL,,https://www.ucentral.edu.co/,https://universidad.ucentral.edu.co/tulengua/wp-content/themes/tulengua/images/logo-ucentral.png
259,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Economía administración contaduría y afines,Presencial,Administración,Semestral,8,ADMINISTRADOR DE EMPRESAS,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
260,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Economía administración contaduría y afines,Presencial,Administración,Semestral,8,ADMINISTRADOR DE NEGOCIOS INTERNACIONALES,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
261,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,138,Economía administración contaduría y afines,Presencial,Administración,Semestral,8,ADMINISTRADOR EN LOGISTICA Y PRODUCCION,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
262,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,137,Ciencias sociales y humanas,Presencial,Antropología y  artes liberales,Semestral,8,ANTROPOLOGO,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
263,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,150,Sin clasificar,Presencial,Sin clasificar,Semestral,9,ARQUITECTO / ARQUITECTA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
264,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,141,Sin clasificar,Presencial,Sin clasificar,Semestral,9,MAESTRO EN ARTES,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
265,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,132,Ciencias sociales y humanas,Presencial,Antropología y  artes liberales,Semestral,8,PROFESIONAL EN ARTES LIBERALES EN CIENCIAS SOCIALES,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
266,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,144,Matemáticas y ciencias naturales,Presencial,Biología microbiología y afines,Semestral,8,BIOLÓGO(A),,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
267,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Ciencias sociales y humanas,Presencial,Ciencia política relaciones internacionales,Semestral,8,POLITÓLOGO(A) ¿ PROFESIONAL EN CIENCIA POLÍTICA Y GOBIERNO,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
268,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,148,Sin clasificar,Presencial,Sin clasificar,Semestral,8,PROFESIONAL EN CIENCIAS DEL SISTEMA TIERRA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
269,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Sin clasificar,Presencial,Sin clasificar,Semestral,9,CREATIVO / CREATIVA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
270,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,139,Sin clasificar,Presencial,Sin clasificar,Semestral,9,DISEÑADOR / DISEÑADORA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
271,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Economía administración contaduría y afines,Presencial,Economía,Semestral,8,ECONOMISTA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
272,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,144,Sin clasificar,Presencial,Sin clasificar,Semestral,8,ENFERMERA-ENFERMERO,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
273,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,144,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,8,PROFESIONAL EN FILOSOFIA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
274,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Economía administración contaduría y afines,Presencial,Economía,Semestral,8,PROFESIONAL EN FINANZAS Y COMERCIO INTERNACIONAL,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
275,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,170,Ciencias de la salud,Presencial,Terapias,Semestral,10,FISOTERAPEUTA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
276,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,170,Ciencias de la salud,Presencial,Terapias,Semestral,10,FONOAUDIOLOGO(A),,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
277,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,138,Ingeniería arquitectura urbanismo y afines,Presencial,Arquitectura,Semestral,8,PROFESIONAL EN GESTION Y DESARROLLO URBANOS,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
278,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,144,Ciencias sociales y humanas,Presencial,Geografía historia,Semestral,8,HISTORIADOR,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
279,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,136,Sin clasificar,Presencial,Sin clasificar,Semestral,8,INGENIERA DE SISTEMAS ENERGÉTICOS / INGENIERO DE SISTEMAS ENERGÉTICOS,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
280,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,136,Sin clasificar,Presencial,Sin clasificar,Semestral,8,INGENIERA ELECTRÓNICO / INGENIERO ELECTRÓNICA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
281,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,136,Sin clasificar,Presencial,Sin clasificar,Semestral,8,INGENIERO INDUSTRIAL / INGENIERA INDUSTRIAL,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
282,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,170,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
283,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,161,Ciencias de la educación,Presencial,Educación,Semestral,9,LICENCIADO EN CIENCIAS SOCIALES,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
284,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,161,Ciencias de la educación,Presencial,Educación,Semestral,9,LICENCIADO EN FILOSOFÍA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
285,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Bellas artes,Presencial,Publicidad y afines,Semestral,8,PROFESIONAL EN MARKETING Y NEGOCIOS DIGITALES,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
286,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,8,PROFESIONAL EN MATEMÁTICAS APLICADAS Y CIENCIAS DE LA COMPUTACIÓN,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
287,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,227,Ciencias de la salud,Presencial,Medicina,Semestral,12,MEDICO,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
288,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,155,Ciencias sociales y humanas,Presencial,Comunicación social periodismo y afines,Semestral,9,PROFESIONAL EN PERIODISMO Y OPINION PUBLICA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
289,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,143,Sin clasificar,Presencial,Sin clasificar,Semestral,8,PROFESIONAL EN EMPRENDIMIENTO,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
290,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,169,Ciencias sociales y humanas,Presencial,Psicología,Semestral,10,PSICOLOGO,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
291,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,140,Ciencias sociales y humanas,Presencial,Ciencia política relaciones internacionales,Semestral,8,INTERNACIONALISTA,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
292,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,144,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,8,SOCIOLOGO(A),,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
293,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,144,Bellas artes,Presencial,Música,Semestral,8,MAESTRO EN TEATRO MUSICAL,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
294,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,4,Privado,170,Ciencias de la salud,Presencial,Terapias,Semestral,10,TERAPEUTA OCUPACIONAL,,https://urosario.edu.co/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Logo_URosario.svg/640px-Logo_URosario.svg.png
295,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,142,Economía administración contaduría y afines,Presencial,Administración,Semestral,8,ADMINISTRADOR DE EMPRESAS,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
296,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,164,Ingeniería arquitectura urbanismo y afines,Presencial,Arquitectura,Semestral,10,ARQUITECTO,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
297,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,138,Economía administración contaduría y afines,Presencial,Economía,Semestral,8,ECONOMISTA,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
298,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,135,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,8,PROFESIONAL UNIVERSITARIO EN ESTADISTICA Y CIENCIAS ACTUARIALES,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
299,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,141,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería ambiental sanitaria y afines,Semestral,8,INGENIERO AMBIENTAL,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
300,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,166,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de minas metalurgia y afines,Semestral,10,INGENIERO DE PETROLEOS,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
301,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,145,Sin clasificar,Presencial,Sin clasificar,Semestral,8,INGENIERO EN ENERGIAS,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
302,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,171,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,10,INGENIERO INDUSTRIAL,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
303,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,175,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO MECANICO,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
304,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,148,Sin clasificar,Presencial,Sin clasificar,Semestral,8,INGENIERO MECATRONICO,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
305,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,175,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería química y afines,Semestral,10,INGENIERO QUIMICO,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
306,FUNDACION UNIVERSIDAD DE AMERICA,92,Privado,135,Economía administración contaduría y afines,Presencial,Economía,Semestral,8,PROFESIONAL EN NEGOCIOS INTERNACIONALES,,https://www.uamerica.edu.co/,https://elempleo.blob.core.windows.net/empresasprd/60964.gif
307,UNIVERSIDAD DE SAN BUENAVENTURA,65,Privado,147,Economía administración contaduría y afines,Presencial,Administración,Semestral,9,ADMINISTRADOR DE EMPRESAS,,https://www.usbbog.edu.co/,https://financiaciondirecta.usbcali.edu.co/usb-analisis-credito/images/logo-H-tipo-negro.png
308,UNIVERSIDAD DE SAN BUENAVENTURA,65,Privado,140,Ciencias sociales y humanas,Presencial,Ciencia política relaciones internacionales,Semestral,8,POLITOLOGO,,https://www.usbbog.edu.co/,https://financiaciondirecta.usbcali.edu.co/usb-analisis-credito/images/logo-H-tipo-negro.png
309,UNIVERSIDAD DE SAN BUENAVENTURA,65,Privado,156,Economía administración contaduría y afines,Presencial,Contaduría pública,Semestral,10,CONTADOR PUBLICO,,https://www.usbbog.edu.co/,https://financiaciondirecta.usbcali.edu.co/usb-analisis-credito/images/logo-H-tipo-negro.png
310,UNIVERSIDAD DE SAN BUENAVENTURA,65,Privado,178,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO,,https://www.usbbog.edu.co/,https://financiaciondirecta.usbcali.edu.co/usb-analisis-credito/images/logo-H-tipo-negro.png
311,UNIVERSIDAD DE SAN BUENAVENTURA,65,Privado,144,Economía administración contaduría y afines,Presencial,Economía,Semestral,10,ECONOMISTA,,https://www.usbbog.edu.co/,https://financiaciondirecta.usbcali.edu.co/usb-analisis-credito/images/logo-H-tipo-negro.png
312,UNIVERSIDAD DE SAN BUENAVENTURA,65,Privado,165,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO AERONAUTICO,,https://www.usbbog.edu.co/,https://financiaciondirecta.usbcali.edu.co/usb-analisis-credito/images/logo-H-tipo-negro.png
313,UNIVERSIDAD DE SAN BUENAVENTURA,65,Privado,151,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de sistemas telemática y afines,Semestral,10,INGENIERO DE SISTEMAS,,https://www.usbbog.edu.co/,https://financiaciondirecta.usbcali.edu.co/usb-analisis-credito/images/logo-H-tipo-negro.png
