ID,Area programa educativo,Titulo egresado
685,Sin clasificar,PROFESIONAL EN INGENIER¿A Y CIENCIA DE DATOS
686,Ingeniería electrónica telecomunicaciones y afines,INGENIERO EN TELECOMUNICACIONES
687,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
688,Educación,LICENCIADO EN CIENCIAS SOCIALES
689,Educación,LICENCIADO EN EDUCACIÓN PARA LA PRIMERA INFANCIA
690,Educación,LICENCIADO EN MATEMÁTICAS Y COMPUTACIÓN
691,Matemáticas estadística y afines,MATEMATICO
692,Administración,PROFESIONAL EN MERCADEO Y PUBLICIDAD
693,Economía,PROFESIONAL EN NEGOCIOS INTERNACIONALES
694,Sociología trabajo social y afines,PROFESIONAL EN GESTIÓN DE LA SEGURIDAD Y LA SALUD LABORAL
695,Comunicación social periodismo y afines,PROFESIONAL EN MEDIOS AUDIOVISUALES
696,Psicología,PSICOLOGO
697,Sin clasificar,PSIC¿LOGO
698,Administración,ADMINISTRADOR DE EMPRESAS
699,Administración,PROFESIONAL EN ADMINISTRACION DE MERCADEO
700,Sin clasificar,COMUNICADOR SOCIAL
701,Contaduría pública,CONTADOR PUBLICO
702,Contaduría pública,CONTADOR (A) PÚBLICO (A)
703,Derecho y afines,ABOGADO(A)
704,Diseño,PROFESIONAL EN DISEÑO DE MODAS
705,Diseño,PROFESIONAL EN DISEÑO GRAFICO
706,Sin clasificar,ECONOMISTA
707,Enfermería,ENFERMERO (A)
708,Administración,PROFESIONAL EN FINANZAS Y NEGOCIOS INTERNACIONALES
709,Ingeniería de minas metalurgia y afines,INGENIERO DE MINAS
710,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
711,Ingeniería química y afines,INGENIERÍA INDUSTRIAL
712,Ingeniería industrial y afines,INGENIERO (A) INDUSTRIAL
713,Instrumentación quirúrgica,INSTRUMENTADOR QUIRURGICO PROFESIONAL
714,Educación,LICENCIADO EN CIENCIAS SOCIALES
715,Sin clasificar,LICENCIADO EN EDUCACION INFANTIL
716,Educación,LICENCIADO EN EDUCACIÓN INFANTIL
717,Administración,PROFESIONAL EN MERCADEO Y PUBLICIDAD
718,Administración,PROFESIONAL EN NEGOCIOS INTERNACIONALES
719,Optometría otros programas de ciencias de la salud,OPTOMETRA
720,Deportes educación física y recreación,PROFESIONAL EN ENTRENAMIENTO DEPORTIVO
721,Otros programas asociados a bellas artes,PROFESIONAL  EN GASTRONOMÍA Y CULINARIA
722,Psicología,PSICOLOGO
723,Psicología,PSICÓLOGO (A)
724,Terapias,TERAPEUTA RESPIRATORIO
725,Administración,ADMINISTRADOR DE EMPRESAS
726,Enfermería,ENFERMERO(A)
727,Medicina,MÉDICO
728,Psicología,PSICÓLOGO
729,Administración,ADMINISTRADOR DE EMPRESAS
730,Economía,ECONOMISTA
731,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
732,Ingeniería biomédica y afines,INGENIERO BIOMEDICO
733,Ingeniería civil y afines,INGENIERO CIVIL
734,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
735,Ingeniería eléctrica y afines,INGENIERO ELECTRICISTA
736,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
737,Sin clasificar,INGENIERO ESTADÍSTICO
738,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
739,Ingeniería mecánica y afines,INGENIERO MECÁNICO
740,Matemáticas estadística y afines,MATEMATICO
741,Administración,ADMINISTRADOR DE EMPRESAS
742,Administración,ADMINISTRADOR DE EMPRESAS GLOBALES
743,Economía,PROFESIONAL EN COMERCIO Y NEGOCIOS GLOBALES
744,Comunicación social periodismo y afines,PROFESIONAL EN COMUNICACIÓN
745,Contaduría pública,CONTADOR PÚBLICO
746,Economía,ECONOMISTA
747,Administración,PROFESIONAL EN ESTUDIOS Y GESTION CULTURAL
748,Ciencia política relaciones internacionales,PROFESIONAL EN HISTORIA Y GESTIÓN POLÍTICA
749,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
750,Ingeniería industrial y afines,INGENIERO DE PRODUCCION
751,Otras ingenierías,INGENIERO DE PRODUCCIÓN
752,Ingeniería de sistemas telemática y afines,INGENIERO (A) DE SISTEMAS
753,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
754,Ingeniería eléctrica y afines,INGENIERO EN ENERGÍAS
755,Ingeniería química y afines,INGENIERO INDUSTRIAL
756,Ingeniería química y afines,INGENIERO(A) INDUSTRIAL
757,Ingeniería electrónica telecomunicaciones y afines,INGENIERO EN MECATRÓNICA
758,Ingeniería química y afines,INGENIERO QUÍMICO
759,Lenguas modernas literatura linguística y afines,PROFESIONAL EN LENGUAS MODERNAS
760,Administración,PROFESIONAL EN MARKETING
761,Administración,PROFESIONAL EN MERCADEO
762,Administración,PROFESIONAL EN MERCADEO Y ESTRATEGIA COMERCIAL
763,Economía,PROFESIONAL EN NEGOCIOS INTERNACIONALES
764,Psicología,PSICÓLOGO
765,Administración,ADMINISTRADOR DE EMPRESAS
766,Administración,ADMINISTRADOR DE EMPRESAS TURÍSTICAS Y HOTELERAS
767,Salud pública,ADMINISTRADOR EN SEGURIDAD Y SALUD EN EL TRABAJO
768,Administración,ADMINISTRADOR (A) EN SEGURIDAD Y SALUD EN EL TRABAJO
769,Administración,ADMINISTRADOR FINANCIERO
770,Filosofía teología y afines,PROFESIONAL EN CIENCIAS BÍBLICAS
771,Comunicación social periodismo y afines,COMUNICADOR SOCIAL
772,Comunicación social periodismo y afines,COMUNICADOR SOCIAL- PERIODISTA
773,Comunicación social periodismo y afines,COMUNICADOR(A) VISUAL
774,Contaduría pública,CONTADOR PÚBLICO
775,Filosofía teología y afines,PROFESIONAL EN FILOSOFIA
776,Ingeniería agrícola forestal y afines,INGENIERO EN AGROECOLOGIA
777,Ingeniería civil y afines,INGENIERO CIVIL
778,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
779,Ingeniería industrial y afines,INGENIERO (A) INDUSTRIAL
780,Sin clasificar,LICENCIADA (O) EN CIENCIAS NATURALES Y EDUCACIÓN AMBIENTAL
781,Educación,LICENCIADO(A) EN EDUCACION  ARTISTICA
782,Educación,LICENCIADO EN EDUCACIÓN ARTÍSTICA
783,Educación,LICENCIADO EN EDUCACIÓN FÍSICA
784,Educación,LICENCIADO(A) EN EDUCACIÓN FÍSICA RECREACIÓN Y DEPORTE
785,Educación,LICENCIADO/A EN EDUCACIÓN INFANTIL
786,Educación,LICENCIADO EN EDUCACIÓN INFANTIL
787,Educación,LICENCIADO EN FILOSOFIA
788,Educación,LICENCIADO (A)  HUMANIDADES Y LENGUA CASTELLANA
789,Educación,LICENCIADO(A) EN INFORMATICA
790,Educación,Licenciado en Lenguas Extranjeras con Énfasis en Inglés
791,Sin clasificar,PROFESIONAL EN MERCADEO
792,Psicología,PSICÓLOGO
793,Sociología trabajo social y afines,TRABAJADOR SOCIAL
794,Sociología trabajo social y afines,TRABAJADOR(A) SOCIAL
795,Sin clasificar,ADMINISTRADOR DE EMPRESAS
796,Administración,ADMINISTRADOR FINANCIERO
797,Administración,ADMINISTRADOR LOGÍSTICO
798,Sin clasificar,COMUNICADOR DIGITAL
799,Contaduría pública,CONTADOR PUBLICO
800,Contaduría pública,CONTADOR PÚBLICO
801,Economía,ECONOMISTA
802,Terapias,FISIOTERAPEUTA
803,Terapias,FONOAUDIOLOGO
804,Ingeniería de sistemas telemática y afines,INGENIERO DE SOFTWARE
805,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
806,Educación,LICENCIADO EN EDUCACIÓN BÁSICA PRIMARIA
807,Educación,LICENCIADO EN EDUCACION ESPECIAL
808,Educación,LICENCIADO EN EDUCACIÓN ESPECIAL
809,Sin clasificar,BOGOT¿
810,Educación,LICENCIADO EN EDUCACIÓN INFANTIL
811,Educación,LICENCIADO(A) EN EDUCACIÓN INFANTIL
812,Educación,LICENCIADO EN HUMANIDADES Y LENGUA CASTELLANA
813,Sin clasificar,LICENCIADO/A EN MATEMATICAS
814,Administración,PROFESIONAL EN MARKETING Y NEGOCIOS INTERNACIONALES
815,Administración,PROFESIONAL EN NEGOCIOS INTERNACIONALES
816,Psicología,PSICOLOGO
817,Psicología,PSICÓLOGO
