ID,Area programa educativo,Titulo egresado
104,Educación,LICENCIADO(A) ENLENGUAS EXTRANJERAS CON ENFASIS EN INGLES
105,Educación,LICENCIADO EN QUIMICA
106,Matemáticas estadística y afines,MATEMATICO
107,Química y afines,QUÍMICO (A)
155,Administración,ADMINISTRADOR AMBIENTAL Y DE LOS RECURSOS NATURALES
156,Administración,ADMINISTRADOR DE EMPRESAS
157,Administración,PROFESIONAL EN ADMINISTRACIÓN  DE EMPRESAS
158,Administración,ADMINISTRADOR DE EMPRESAS AGROPECUARIAS
159,Comunicación social periodismo y afines,COMUNICADOR SOCIAL
160,Arquitectura,CONSTRUCTOR EN ARQUITECTURA E INGENIERIA
161,Contaduría pública,CONTADOR PUBLICO
162,Deportes educación física y recreación,PROFESIONAL EN CULTURA FISICA DEPORTE Y RECREACION
163,Derecho y afines,ABOGADO
164,Diseño,DISEÑADOR GRÁFICO
165,Economía,ECONOMISTA
166,Educación,LICENCIADO(A) EN EDUCACION RELIGIOSA
167,Matemáticas estadística y afines,PROFESIONAL EN ESTADÍSTICA
168,Ciencia política relaciones internacionales,PROFESIONAL EN GOBIERNO Y RELACIONES INTERNACIONALES
169,Ingeniería ambiental sanitaria y afines,INGENIERO AMBIENTAL
170,Ingeniería civil y afines,INGENIERO CIVIL
171,Ingeniería electrónica telecomunicaciones y afines,INGENIERO DE TELECOMUNICACIONES
172,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
173,Ingeniería de sistemas telemática y afines,INGENIERO INFORMATICO
174,Ingeniería industrial y afines,INGENIERO EN  LOGISTICA Y  OPERACIONES
175,Ingeniería industrial y afines,INGENIERO (A)  INDUSTRIAL
176,Ingeniería mecánica y afines,INGENIERO MECANICO
177,Educación,LICENCIADO EN BIOLOGÍA
178,Educación,LICENCIADO(A) EN EDUCACION INFANTIL
179,Educación,LICENCIADO(A) EN FILOSOFIA Y LETRAS
180,Educación,LICENCIADO EN LENGUAS EXTRANJERAS INGLES
181,Educación,LICENCIADO EN TECNOLOGÍA E INFORMÁTICA
182,Educación,LICENCIADO EN TEOLOGÍA
183,Administración,PROFESIONAL EN MERCADEO
184,Economía,PROFESIONAL EN NEGOCIOS INTERNACIONALES
185,Psicología,PSICOLOGO
186,Sociología trabajo social y afines,SOCIOLOGO
187,Filosofía teología y afines,TEOLOGO
188,Zootecnia,ZOOTECNISTA
189,Administración,ADMINISTRADOR DE EMPRESAS
190,Administración,ADMINISTRADOR DE EMPRESAS TURISTICAS Y HOTELERAS
191,Antropología y  artes liberales,ANTROPOLOGO
192,Bibliotecología otros de ciencias sociales y humanas,ARQUEOLOGO
