ID,Institucion educativa,precio,Ranking institución educativa,Origen institución educativa,Número de créditos programa educativo,nombreareaconocimiento,Metodología programa educativo,Area programa educativo,Periodicidad programa educativo,Numero periodos programa educativo,Titulo egresado,Opiniones institución educativa,Link,image_url,acreditacion,,,,,,,,,,,
15,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,NA,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,8,LICENCIADO EN ESPAÑOL Y FILOLOGIA CLASICA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
16,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,141,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,9,ESTADISTICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
17,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,119,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,8,PROFESIONAL EN ESTUDIOS LITERARIOS,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
18,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,185,Matemáticas y ciencias naturales,Presencial,Química y afines,Semestral,10,QUIMICO(A) FARMACEUTICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
19,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,140,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,9,LICENCIADO(A) EN FILOLOGIA E IDIOMAS,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
20,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,122,Ciencias sociales y humanas,Presencial,Filosofía teología y afines,Semestral,9,FILOSOFO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
21,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,NA,Matemáticas y ciencias naturales,Presencial,Física,Semestral,10,FISICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
22,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,166,Ciencias de la salud,Presencial,Terapias,Semestral,10,FISIOTERAPEUTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
23,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,155,Ciencias de la salud,Presencial,Terapias,Semestral,10,FONOAUDIOLOGO (A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
24,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,128,Ciencias sociales y humanas,Presencial,Geografía historia,Semestral,9,GEOGRAFO (A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
25,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,166,Matemáticas y ciencias naturales,Presencial,Geología otros programas de ciencias naturales,Semestral,10,GEOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
26,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,121,Ciencias sociales y humanas,Presencial,Geografía historia,Semestral,9,HISTORIADOR(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
27,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería agrícola forestal y afines,Semestral,10,INGENIERO(A) AGRICOLA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
28,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería agronómica pecuaria y afines,Semestral,10,INGENIERO(A) AGRONOMO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
29,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería civil y afines,Semestral,10,INGENIERO(A) CIVIL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
30,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,NA,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de sistemas telemática y afines,Semestral,10,INGENIERO(A) DE SISTEMAS Y COMPUTACION,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
31,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,167,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería eléctrica y afines,Semestral,10,INGENIERO (A) ELECTRICISTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
32,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,172,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería electrónica telecomunicaciones y afines,Semestral,10,INGENIERO(A) ELECTRONICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
33,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,168,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,10,INGENIERO(A) INDUSTRIAL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
34,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO(A) MECANICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
35,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,179,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO(A) MECATRONICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
36,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,180,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería química y afines,Semestral,10,INGENIERO(A) QUIMICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
37,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,123,Ciencias sociales y humanas,Presencial,Lenguas modernas literatura linguística y afines,Semestral,8,LINGUISTICA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
38,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,140,Matemáticas y ciencias naturales,Presencial,Matemáticas estadística y afines,Semestral,10,MATEMATICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
39,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,256,Ciencias de la salud,Presencial,Medicina,Semestral,12,MEDICO(A) CIRUJANO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
40,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,209,Agronomía veterinaria y afines,Presencial,Medicina veterinaria,Semestral,10,MEDICO(A) VETERINARIO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
41,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,171,Bellas artes,Presencial,Música,Semestral,10,MUSICO CON ENFASIS EN ...,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
42,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,183,Bellas artes,Presencial,Música,Semestral,10,MUSICO INSTRUMENTALISTA CON ENFASIS EN...,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
43,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,158,Ciencias de la salud,Presencial,Nutrición y dietética,Semestral,10,NUTRICIONISTA-DIETISTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
44,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,180,Ciencias de la salud,Presencial,Odontología,Semestral,10,ODONTOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
45,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,150,Ciencias sociales y humanas,Presencial,Psicología,Semestral,10,PSICOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
46,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,160,Matemáticas y ciencias naturales,Presencial,Química y afines,Semestral,10,QUIMICO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
47,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,131,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,9,SOCIOLOGO(A),,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
48,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,160,Ciencias de la salud,Presencial,Terapias,Semestral,8,TERAPEUTA OCUPACIONAL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
49,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,148,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,10,TRABAJADOR(A) SOCIAL,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
50,UNIVERSIDAD NACIONAL DE COLOMBIA,$,3,Público,186,Agronomía veterinaria y afines,Presencial,Zootecnia,Semestral,10,ZOOTECNISTA,,http://unal.edu.co/,https://www1.funcionpublica.gov.co/documents/28587425/41589060/logo-Universidad-Nacional.png/92343759-b2d7-7df3-4425-efa3337f2da7?t=1671747619326,Acreditación de alta calidad,,,,,,,,,,,
51,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,158,Economía administración contaduría y afines,Presencial,Administración,Semestral,9,ADMINISTRADOR DE EMPRESAS,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,n/a,,,,,,,,,,,
52,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,145,Economía administración contaduría y afines,A distancia,Administración,Semestral,8,ADMINISTRADOR DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Registro calificado,,,,,,,,,,,
53,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,155,Economía administración contaduría y afines,Presencial,Contaduría pública,Semestral,9,CONTADOR PUBLICO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
54,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,170,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
55,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,156,Economía administración contaduría y afines,Presencial,Economía,Semestral,9,ECONOMISTA,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
56,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,246,Ciencias de la salud,Presencial,Medicina,Semestral,12,MEDICO,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
57,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,175,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería civil y afines,Semestral,10,INGENIERO CIVIL,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Registro calificado,,,,,,,,,,,
58,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,175,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería mecánica y afines,Semestral,10,INGENIERO EN MECATRONICA,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
59,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,157,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería de sistemas telemática y afines,Semestral,10,INGENIERO EN MULTIMEDIA,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
60,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,159,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería electrónica telecomunicaciones y afines,Semestral,9,INGENIERO EN TELECOMUNICACIONES,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
61,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,156,Ingeniería arquitectura urbanismo y afines,Presencial,Ingeniería industrial y afines,Semestral,9,INGENIERO INDUSTRIAL,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Acreditación de alta calidad,,,,,,,,,,,
62,UNIVERSIDAD MILITAR-NUEVA GRANADA,$,50,Público,160,Ciencias sociales y humanas,Presencial,Ciencia política relaciones internacionales,Semestral,9,PROFESIONAL EN RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS,,https://www.umng.edu.co/inicio,https://estudiacolombia.co/wp-content/uploads/2022/05/1-30.jpg,Registro calificado,,,,,,,,,,,
63,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,156,Economía administración contaduría y afines,Presencial,Administración,Semestral,10,ADMINISTRADOR DE EMPRESAS COMERCIALES,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Registro calificado,,,,,,,,,,,
64,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,160,Ciencias de la salud,Presencial,Bacteriología,Semestral,10,BACTERIOLOGO Y LABORATORISTA CLINICO,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Acreditación de alta calidad,,,,,,,,,,,
65,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,173,Ingeniería arquitectura urbanismo y afines,Presencial,Arquitectura,Semestral,10,CONSTRUCTOR Y GESTOR EN ARQUITECTURA,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Registro calificado,,,,,,,,,,,
66,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,166,Ciencias sociales y humanas,Presencial,Derecho y afines,Semestral,10,ABOGADO,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Registro calificado,,,,,,,,,,,
67,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,146,Bellas artes,Presencial,Diseño,Semestral,9,DISEÑADOR DIGITAL Y DE MULTIMEDIA,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Registro calificado,,,,,,,,,,,
68,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,140,Economía administración contaduría y afines,Presencial,Economía,Semestral,8,ECONOMISTA,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Registro calificado,,,,,,,,,,,
69,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,150,Ciencias sociales y humanas,Presencial,Sociología trabajo social y afines,Semestral,8,TRABAJADOR SOCIAL,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Acreditación de alta calidad,,,,,,,,,,,
70,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,$,62,Público,158,Economía administración contaduría y afines,Presencial,Administración,Semestral,8,PROFESIONAL EN TURISMO,,https://www.unicolmayor.edu.co/,https://adviser.unicolmayor.edu.co/images/logo.png,Registro calificado,,,,,,,,,,,
71,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,$,15,Público,160,Economía administración contaduría y afines,Presencial,Administración,Semestral,9,ADMINISTRADOR AMBIENTAL,,https://www.udistrital.edu.co/inicio,https://www.udistrital.edu.co/themes/custom/versh/logo.png,Acreditación de alta calidad,,,,,,,,,,,
72,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,$,15,Público,160,Economía administración contaduría y afines,Presencial,Administración,Semestral,10,PROFESIONAL EN ADMINISTRACION DEPORTIVA,,https://www.udistrital.edu.co/inicio,https://www.udistrital.edu.co/themes/custom/versh/logo.png,n/a,,,,,,,,,,,
